Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524942980.28,-0.200906,-3.929274,0.248935,0.13888499999999998,-0.999451,-0.075302,188.738083,-118.27565,-77.037384
1524942980.3,-0.257361,-4.390171,0.268994,0.145493,-0.977646,-0.029648,186.862854,-118.270401,-76.793625
1524942980.32,-0.302615,-4.596841,0.298793,0.09375,-0.965454,0.051697,185.063965,-117.815704,-76.325638
1524942980.34,-0.304208,-4.436312,0.294129,0.062027,-0.979706,0.107635,183.264786,-117.36145,-75.557648
1524942980.36,-0.28276,-4.133083,0.29880500000000004,0.0448,-0.981094,0.101868,181.389175,-117.35675,-74.938889
1524942980.38,-0.286227,-3.817317,0.32154,-0.0009,-0.970505,0.080475,179.889069,-117.128632,-74.023895
1524942980.4,-0.266398,-3.429071,0.295555,0.001022,-0.970001,0.081223,178.389099,-116.900284,-73.258896
1524942980.42,-0.237882,-3.046065,0.262122,0.027634,-0.963394,0.072495,177.338608,-116.823257,-72.49838299999998
1524942980.44,-0.204198,-2.723637,0.202794,0.063675,-0.979172,0.025558,176.289047,-116.371811,-71.36288499999998
1524942980.46,-0.169877,-2.557507,0.133166,0.081802,-1.002197,-0.028366,175.613358,-116.296265,-70.381134
1524942980.48,-0.13914,-2.47858,0.082388,0.114044,-0.984283,-0.046539,174.78878799999995,-115.994705,-69.772888
1524942980.51,-0.112949,-2.25192,0.015103,0.086609,-0.968658,-0.028030000000000003,174.18778999999995,-116.069031,-69.016876
1524942980.53,-0.105118,-2.038168,-0.02242,0.022186,-0.971954,-0.043533,173.737457,-115.993591,-68.412369
1524942980.55,-0.092995,-1.812691,-0.072697,0.029678,-1.003922,-0.010605,173.360779,-116.14415,-67.2836
1524942980.57,-0.09479,-1.549012,-0.056593,0.03244,-1.000717,-0.020325,172.83638,-115.843262,-66.828354
1524942980.59,-0.110705,-1.374774,-0.034561,0.075562,-1.004471,-0.013565,172.38623,-115.692932,-66.148865
1524942980.61,-0.13571,-1.258032,-0.007494,0.068924,-1.018951,-0.01828,172.46043400000005,-115.768936,-65.62460300000001
1524942980.63,-0.153193,-1.129536,0.0047020000000000005,0.044968,-0.98616,-0.041122000000000006,172.159424,-115.993378,-65.396591
1524942980.65,-0.113409,-0.8347319999999999,-0.099625,0.264236,-0.948944,0.05925,171.935211,-115.6185,-64.869354
1524942980.67,-0.06975,-0.662203,-0.250448,0.37294,-0.927399,0.091049,171.93438700000004,-115.768951,-64.56933599999999
1524942980.69,0.002127,-0.42119,-0.200755,0.157913,-1.028198,0.101212,171.85961899999995,-115.619171,-64.268585
1524942980.71,0.001865,-0.081848,0.003937,-0.240524,-1.10408,0.114716,172.158279,-115.845856,-63.746582
1524942980.73,-0.01341,0.252847,-0.089917,-0.162323,-1.055908,0.103607,172.008224,-115.99472,-64.195084
1524942980.75,-0.083482,0.234083,-0.120451,-0.046051,-1.023758,0.105301,172.384567,-115.546204,-63.973846
1524942980.77,-0.111521,0.308202,-0.170602,-0.064499,-0.995743,-0.057327,172.608597,-115.548325,-63.001083
1524942980.79,-0.10632,0.139175,-0.195898,0.025558,-1.003174,-0.123199,172.309875,-115.545517,-64.27310200000001
1524942980.81,-0.080713,0.144734,-0.19569,0.012344,-0.969269,-0.212936,172.834946,-115.696182,-64.878342
1524942980.83,-0.039775,0.053648,-0.237505,0.046875,-0.977798,-0.109314,173.2854,-115.39843799999998,-64.282852
1524942980.85,-0.027288,0.001652,-0.255824,0.012329,-1.0304719999999998,-0.051498,173.05789199999995,-116.222183,-64.655579
1524942980.87,-0.048298,-0.019824,-0.271042,0.027267000000000003,-1.03894,0.038025,173.208435,-116.147186,-64.957077
1524942980.89,-0.08722200000000001,0.04677,-0.295634,-0.02301,-1.023483,-0.01506,172.833969,-115.996063,-64.953339
1524942980.91,-0.080046,0.109542,-0.327399,0.066772,-1.022141,-0.063858,173.508514,-116.14798,-65.03508000000001
1524942980.93,-0.052163,-0.070887,-0.260595,0.164062,-1.037338,-0.092407,173.80687,-116.598969,-64.96305799999999
1524942980.96,-0.06363300000000001,-0.199564,-0.162832,0.009003,-1.000916,-0.06172200000000001,173.357224,-116.671738,-65.558563
1524942980.98,-0.016444,-0.021629,-0.24729,0.051788,-1.00882,-0.064972,173.433899,-116.296402,-65.934341
1524942981.0,-0.005186,-0.02042,-0.200141,0.125824,-1.0269469999999998,-0.084,173.657135,-116.672729,-65.486572
1524942981.02,0.023836000000000003,-0.086023,-0.149946,0.087784,-1.01973,-0.068039,173.957138,-116.67363,-65.489563
1524942981.04,0.046087,-0.091108,-0.12520699999999998,0.077362,-1.007126,-0.06300399999999999,174.031876,-116.748856,-65.490311
1524942981.06,0.065125,-0.074976,-0.120722,0.06813,-1.0081790000000002,-0.065536,173.95649699999996,-116.898407,-65.639557
