,Unnamed: 0,Time,TimeRedundant,X,Y,Z
317,317,1525628537.97892,1525628537.97892,-0.07384600000000001,-0.36453,0.752329
318,318,1525628537.9885788,1525628537.9885788,-0.116664,-0.480566,0.851835
319,319,1525628537.9985619,1525628537.9985619,-0.066182,-0.539456,0.977874
320,320,1525628538.008373,1525628538.008373,0.071563,-0.597643,1.084752
321,321,1525628538.0183554,1525628538.0183554,0.210015,-0.570547,1.144793
322,322,1525628538.02833,1525628538.02833,0.236136,-0.363891,1.144479
323,323,1525628538.038308,1525628538.038308,0.121917,-0.034039,1.07351
324,324,1525628538.048292,1525628538.048292,-0.068621,0.32813400000000004,0.950257
325,325,1525628538.058275,1525628538.058275,-0.227823,0.563357,0.79788
326,326,1525628538.0682518,1525628538.0682518,-0.26232300000000003,0.526288,0.602459
327,327,1525628538.078228,1525628538.078228,-0.20328,0.316158,0.413339
328,328,1525628538.0882099,1525628538.0882099,-0.16046,0.115658,0.29147199999999995
329,329,1525628538.0980241,1525628538.0980241,-0.187497,0.000669,0.28541300000000003
330,330,1525628538.1081722,1525628538.1081722,-0.250278,-0.018296,0.390487
331,331,1525628538.118149,1525628538.118149,-0.276958,-0.008668,0.562176
332,332,1525628538.128205,1525628538.128205,-0.251737,-0.075991,0.718326
333,333,1525628538.138104,1525628538.138104,-0.213618,-0.166783,0.799812
334,334,1525628538.148041,1525628538.148041,-0.196663,-0.218014,0.800668
335,335,1525628538.1580632,1525628538.1580632,-0.213396,-0.191269,0.7359479999999999
336,336,1525628538.1680439,1525628538.1680439,-0.24417,-0.12928299999999998,0.650113
337,337,1525628538.17802,1525628538.17802,-0.26105700000000004,-0.059895,0.5641079999999999
338,338,1525628538.1880019,1525628538.1880019,-0.262847,-0.015093,0.496013
339,339,1525628538.197998,1525628538.197998,-0.254826,-0.006581,0.452276
340,340,1525628538.208051,1525628538.208051,-0.231619,-0.013065,0.431769
341,341,1525628538.2179394,1525628538.2179394,-0.209261,-0.036608,0.432559
342,342,1525628538.227917,1525628538.227917,-0.192009,-0.047347,0.449378
343,343,1525628538.237895,1525628538.237895,-0.175768,-0.0357,0.466209
344,344,1525628538.2479448,1525628538.2479448,-0.161736,-0.017644999999999997,0.475617
345,345,1525628538.258826,1525628538.258826,-0.151151,-0.019818,0.469102
346,346,1525628538.267802,1525628538.267802,-0.153781,-0.041107,0.432945
347,347,1525628538.277816,1525628538.277816,-0.15567,-0.082639,0.374427
348,348,1525628538.28787,1525628538.28787,-0.152245,-0.13805,0.316908
349,349,1525628538.2978141,1525628538.2978141,-0.15803599999999998,-0.179579,0.28824
350,350,1525628538.307749,1525628538.307749,-0.165201,-0.16783499999999998,0.31068
351,351,1525628538.317761,1525628538.317761,-0.176181,-0.142234,0.367226
352,352,1525628538.3277366,1525628538.3277366,-0.181832,-0.124117,0.424771
353,353,1525628538.337717,1525628538.337717,-0.191089,-0.116629,0.451493
354,354,1525628538.3477561,1525628538.3477561,-0.195275,-0.10489,0.455802
355,355,1525628538.357675,1525628538.357675,-0.197442,-0.092088,0.450507
356,356,1525628538.367658,1525628538.367658,-0.1995,-0.051578,0.448405
357,357,1525628538.3776429,1525628538.3776429,-0.202347,0.032628,0.46015
358,358,1525628538.387917,1525628538.387917,-0.217932,0.13713699999999998,0.473116
359,359,1525628538.397666,1525628538.397666,-0.23244,0.251235,0.485005
